
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 00:00,0,0,0,5.568,,,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 01:00,0,0,0,5.454,,,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 02:00,0,0,0,5.33,,,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 03:00,0,0,0,5.554,,,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 04:00,0,0,0,5.812,,,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 05:00,0,0,0,5.942,,,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 06:00,0,0,0,6.038,,,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 07:00,0,0,0,6.101,,,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 08:00,0,0.001,0.004,6.285,,,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 09:00,0.02,0.004,0.029,6.715,,,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 10:00,0.049,0.01,0.056,7.338,,,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 11:00,0.093,0.026,0.088,8.038,,,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 12:00,0.114,0.039,0.097,8.525,,,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 13:00,0.131,0.062,0.092,8.655,,,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 14:00,0.083,0.042,0.061,8.222,,,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 15:00,0.023,0.018,0.018,6.779,,,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 16:00,0,0,0,5.035,,,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 17:00,0,0,0,3.741,,,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 18:00,0,0,0,2.914,,,,,,,,,,,,,
01/01/2019 19:00,01/01/2019 19:00,0,0,0,2.229,,,,,,,,,,,,,
01/01/2019 20:00,01/01/2019 20:00,0,0,0,1.727,,,,,,,,,,,,,
01/01/2019 21:00,01/01/2019 21:00,0,0,0,1.676,,,,,,,,,,,,,
01/01/2019 22:00,01/01/2019 22:00,0,0,0,1.843,,,,,,,,,,,,,
01/01/2019 23:00,01/01/2019 23:00,0,0,0,1.785,,,,,,,,,,,,,
02/01/2019 00:00,02/01/2019 00:00,0,0,0,0.992,,,,,,,,,,,,,
02/01/2019 01:00,02/01/2019 01:00,0,0,0,0.464,,,,,,,,,,,,,
02/01/2019 02:00,02/01/2019 02:00,0,0,0,0.113,,,,,,,,,,,,,
02/01/2019 03:00,02/01/2019 03:00,0,0,0,-0.12,,,,,,,,,,,,,
02/01/2019 04:00,02/01/2019 04:00,0,0,0,-0.555,,,,,,,,,,,,,
02/01/2019 05:00,02/01/2019 05:00,0,0,0,-0.869,,,,,,,,,,,,,
02/01/2019 06:00,02/01/2019 06:00,0,0,0,-1.199,,,,,,,,,,,,,
02/01/2019 07:00,02/01/2019 07:00,0,0,0,-1.591,,,,,,,,,,,,,
02/01/2019 08:00,02/01/2019 08:00,0.029,0.031,0.012,-1.67,,,,,,,,,,,,,
02/01/2019 09:00,02/01/2019 09:00,0.206,0.176,0.049,-0.213,,,,,,,,,,,,,
02/01/2019 10:00,02/01/2019 10:00,0.377,0.345,0.062,0.945,,,,,,,,,,,,,
02/01/2019 11:00,02/01/2019 11:00,0.42,0.386,0.072,2.223,,,,,,,,,,,,,
02/01/2019 12:00,02/01/2019 12:00,0.402,0.365,0.077,3.796,,,,,,,,,,,,,
02/01/2019 13:00,02/01/2019 13:00,0.322,0.281,0.073,4.28,,,,,,,,,,,,,
02/01/2019 14:00,02/01/2019 14:00,0.19,0.156,0.057,3.784,,,,,,,,,,,,,
02/01/2019 15:00,02/01/2019 15:00,0.047,0.044,0.018,1.846,,,,,,,,,,,,,
02/01/2019 16:00,02/01/2019 16:00,0,0,0,0.656,,,,,,,,,,,,,
02/01/2019 17:00,02/01/2019 17:00,0,0,0,0.449,,,,,,,,,,,,,
02/01/2019 18:00,02/01/2019 18:00,0,0,0,0.347,,,,,,,,,,,,,
02/01/2019 19:00,02/01/2019 19:00,0,0,0,0.345,,,,,,,,,,,,,
02/01/2019 20:00,02/01/2019 20:00,0,0,0,0.407,,,,,,,,,,,,,
02/01/2019 21:00,02/01/2019 21:00,0,0,0,0.388,,,,,,,,,,,,,
02/01/2019 22:00,02/01/2019 22:00,0,0,0,0.154,,,,,,,,,,,,,
02/01/2019 23:00,02/01/2019 23:00,0,0,0,-0.163,,,,,,,,,,,,,
03/01/2019 00:00,03/01/2019 00:00,0,0,0,-0.382,,,,,,,,,,,,,
03/01/2019 01:00,03/01/2019 01:00,0,0,0,-0.54,,,,,,,,,,,,,
03/01/2019 02:00,03/01/2019 02:00,0,0,0,-0.715,,,,,,,,,,,,,
03/01/2019 03:00,03/01/2019 03:00,0,0,0,-0.84,,,,,,,,,,,,,
03/01/2019 04:00,03/01/2019 04:00,0,0,0,-0.791,,,,,,,,,,,,,
03/01/2019 05:00,03/01/2019 05:00,0,0,0,-0.751,,,,,,,,,,,,,
03/01/2019 06:00,03/01/2019 06:00,0,0,0,-0.707,,,,,,,,,,,,,
03/01/2019 07:00,03/01/2019 07:00,0,0,0,-0.602,,,,,,,,,,,,,
03/01/2019 08:00,03/01/2019 08:00,0.016,0.016,0.012,-0.257,,,,,,,,,,,,,
03/01/2019 09:00,03/01/2019 09:00,0.122,0.084,0.055,0.979,,,,,,,,,,,,,
03/01/2019 10:00,03/01/2019 10:00,0.251,0.19,0.083,2.033,,,,,,,,,,,,,
03/01/2019 11:00,03/01/2019 11:00,0.328,0.264,0.095,3.379,,,,,,,,,,,,,
03/01/2019 12:00,03/01/2019 12:00,0.257,0.18,0.102,3.766,,,,,,,,,,,,,
03/01/2019 13:00,03/01/2019 13:00,0.183,0.114,0.091,3.703,,,,,,,,,,,,,
03/01/2019 14:00,03/01/2019 14:00,0.109,0.066,0.061,3.29,,,,,,,,,,,,,
03/01/2019 15:00,03/01/2019 15:00,0.028,0.023,0.019,2.051,,,,,,,,,,,,,
03/01/2019 16:00,03/01/2019 16:00,0,0,0,1.109,,,,,,,,,,,,,
03/01/2019 17:00,03/01/2019 17:00,0,0,0,0.321,,,,,,,,,,,,,
03/01/2019 18:00,03/01/2019 18:00,0,0,0,-0.559,,,,,,,,,,,,,
03/01/2019 19:00,03/01/2019 19:00,0,0,0,-1.095,,,,,,,,,,,,,
03/01/2019 20:00,03/01/2019 20:00,0,0,0,-1.228,,,,,,,,,,,,,
03/01/2019 21:00,03/01/2019 21:00,0,0,0,-1.319,,,,,,,,,,,,,
03/01/2019 22:00,03/01/2019 22:00,0,0,0,-1.528,,,,,,,,,,,,,
03/01/2019 23:00,03/01/2019 23:00,0,0,0,-0.961,,,,,,,,,,,,,
04/01/2019 00:00,04/01/2019 00:00,0,0,0,-0.859,,,,,,,,,,,,,
04/01/2019 01:00,04/01/2019 01:00,0,0,0,-1.56,,,,,,,,,,,,,
04/01/2019 02:00,04/01/2019 02:00,0,0,0,-2.172,,,,,,,,,,,,,
04/01/2019 03:00,04/01/2019 03:00,0,0,0,-2.259,,,,,,,,,,,,,
04/01/2019 04:00,04/01/2019 04:00,0,0,0,-1.97,,,,,,,,,,,,,
04/01/2019 05:00,04/01/2019 05:00,0,0,0,-2.056,,,,,,,,,,,,,
04/01/2019 06:00,04/01/2019 06:00,0,0,0,-2.311,,,,,,,,,,,,,
04/01/2019 07:00,04/01/2019 07:00,0,0,0,-2.547,,,,,,,,,,,,,
04/01/2019 08:00,04/01/2019 08:00,0.034,0.034,0.014,-2.55,,,,,,,,,,,,,
04/01/2019 09:00,04/01/2019 09:00,0.144,0.105,0.055,-1.097,,,,,,,,,,,,,
04/01/2019 10:00,04/01/2019 10:00,0.206,0.14,0.085,-0.225,,,,,,,,,,,,,
04/01/2019 11:00,04/01/2019 11:00,0.269,0.191,0.1,0.83,,,,,,,,,,,,,
04/01/2019 12:00,04/01/2019 12:00,0.267,0.189,0.101,1.812,,,,,,,,,,,,,
04/01/2019 13:00,04/01/2019 13:00,0.226,0.16,0.088,1.832,,,,,,,,,,,,,
04/01/2019 14:00,04/01/2019 14:00,0.218,0.179,0.059,1.027,,,,,,,,,,,,,
04/01/2019 15:00,04/01/2019 15:00,0.065,0.059,0.022,-1.228,,,,,,,,,,,,,
04/01/2019 16:00,04/01/2019 16:00,0,0,0,-2.421,,,,,,,,,,,,,
04/01/2019 17:00,04/01/2019 17:00,0,0,0,-2.486,,,,,,,,,,,,,
04/01/2019 18:00,04/01/2019 18:00,0,0,0,-2.373,,,,,,,,,,,,,
04/01/2019 19:00,04/01/2019 19:00,0,0,0,-2.208,,,,,,,,,,,,,
04/01/2019 20:00,04/01/2019 20:00,0,0,0,-1.973,,,,,,,,,,,,,
04/01/2019 21:00,04/01/2019 21:00,0,0,0,-1.513,,,,,,,,,,,,,
04/01/2019 22:00,04/01/2019 22:00,0,0,0,-1.201,,,,,,,,,,,,,
04/01/2019 23:00,04/01/2019 23:00,0,0,0,-1.08,,,,,,,,,,,,,
05/01/2019 00:00,05/01/2019 00:00,0,0,0,-0.907,,,,,,,,,,,,,
05/01/2019 01:00,05/01/2019 01:00,0,0,0,-0.744,,,,,,,,,,,,,
05/01/2019 02:00,05/01/2019 02:00,0,0,0,-0.731,,,,,,,,,,,,,
05/01/2019 03:00,05/01/2019 03:00,0,0,0,-0.746,,,,,,,,,,,,,
05/01/2019 04:00,05/01/2019 04:00,0,0,0,-0.705,,,,,,,,,,,,,
05/01/2019 05:00,05/01/2019 05:00,0,0,0,-0.667,,,,,,,,,,,,,
05/01/2019 06:00,05/01/2019 06:00,0,0,0,-0.695,,,,,,,,,,,,,
05/01/2019 07:00,05/01/2019 07:00,0,0,0,-0.798,,,,,,,,,,,,,
05/01/2019 08:00,05/01/2019 08:00,0.01,0.009,0.011,-0.698,,,,,,,,,,,,,
05/01/2019 09:00,05/01/2019 09:00,0.076,0.04,0.053,0.104,,,,,,,,,,,,,
05/01/2019 10:00,05/01/2019 10:00,0.18,0.11,0.09,1.081,,,,,,,,,,,,,
05/01/2019 11:00,05/01/2019 11:00,0.244,0.161,0.105,1.969,,,,,,,,,,,,,
05/01/2019 12:00,05/01/2019 12:00,0.25,0.167,0.106,2.697,,,,,,,,,,,,,
05/01/2019 13:00,05/01/2019 13:00,0.208,0.136,0.093,2.855,,,,,,,,,,,,,
05/01/2019 14:00,05/01/2019 14:00,0.118,0.072,0.064,2.211,,,,,,,,,,,,,
05/01/2019 15:00,05/01/2019 15:00,0.022,0.016,0.019,0.685,,,,,,,,,,,,,
05/01/2019 16:00,05/01/2019 16:00,0,0,0,-0.006,,,,,,,,,,,,,
05/01/2019 17:00,05/01/2019 17:00,0,0,0,0.187,,,,,,,,,,,,,
05/01/2019 18:00,05/01/2019 18:00,0,0,0,0.491,,,,,,,,,,,,,
05/01/2019 19:00,05/01/2019 19:00,0,0,0,0.709,,,,,,,,,,,,,
05/01/2019 20:00,05/01/2019 20:00,0,0,0,0.823,,,,,,,,,,,,,
05/01/2019 21:00,05/01/2019 21:00,0,0,0,0.955,,,,,,,,,,,,,
05/01/2019 22:00,05/01/2019 22:00,0,0,0,1.215,,,,,,,,,,,,,
05/01/2019 23:00,05/01/2019 23:00,0,0,0,1.421,,,,,,,,,,,,,
06/01/2019 00:00,06/01/2019 00:00,0,0,0,1.613,,,,,,,,,,,,,
06/01/2019 01:00,06/01/2019 01:00,0,0,0,1.819,,,,,,,,,,,,,
06/01/2019 02:00,06/01/2019 02:00,0,0,0,1.934,,,,,,,,,,,,,
06/01/2019 03:00,06/01/2019 03:00,0,0,0,1.995,,,,,,,,,,,,,
06/01/2019 04:00,06/01/2019 04:00,0,0,0,1.981,,,,,,,,,,,,,
06/01/2019 05:00,06/01/2019 05:00,0,0,0,1.993,,,,,,,,,,,,,
06/01/2019 06:00,06/01/2019 06:00,0,0,0,2.097,,,,,,,,,,,,,
06/01/2019 07:00,06/01/2019 07:00,0,0,0,2.082,,,,,,,,,,,,,
06/01/2019 08:00,06/01/2019 08:00,0.004,0.003,0.009,2.048,,,,,,,,,,,,,
06/01/2019 09:00,06/01/2019 09:00,0.04,0.011,0.044,3.062,,,,,,,,,,,,,
06/01/2019 10:00,06/01/2019 10:00,0.06,0.012,0.065,3.708,,,,,,,,,,,,,
06/01/2019 11:00,06/01/2019 11:00,0.056,0.008,0.065,4.062,,,,,,,,,,,,,
06/01/2019 12:00,06/01/2019 12:00,0.076,0.014,0.08,4.488,,,,,,,,,,,,,
06/01/2019 13:00,06/01/2019 13:00,0.07,0.015,0.073,4.682,,,,,,,,,,,,,
06/01/2019 14:00,06/01/2019 14:00,0.044,0.011,0.049,4.375,,,,,,,,,,,,,
06/01/2019 15:00,06/01/2019 15:00,0.007,0.003,0.013,3.512,,,,,,,,,,,,,
06/01/2019 16:00,06/01/2019 16:00,0,0,0,3.137,,,,,,,,,,,,,
06/01/2019 17:00,06/01/2019 17:00,0,0,0,3.384,,,,,,,,,,,,,
06/01/2019 18:00,06/01/2019 18:00,0,0,0,3.622,,,,,,,,,,,,,
06/01/2019 19:00,06/01/2019 19:00,0,0,0,3.759,,,,,,,,,,,,,
